level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3,region,Africa,2845.173267,3543.551295,3839.975371,5443.865367,6104.516475,5665.131717,6047.850347,11030.17194,9991.920511,11893.76311,10381.78242,19972.76752,14761.36012,18156.99086,17646.69288,29408.09513,34392.72696,51352.46946,59166.17462,57389.82669,47910.32486,47598.38802,57946.23777,51066.7854,54768.9938,58444.50479,47743.96924,40597.34457,43371.6268,46663.2765,40943.92687,82201.48899,54567.29077,55414.37584,97032.27356
4,region,North Africa,1155.481,914.0838,1595.7831,2411.6939,2277.3567,1228.2149,1468.178,2746.909508,2993.248805,3347.94922,3250.12918,5357.612589,3871.561666,5265.553919,6443.897894,11613.38813,21594.52558,23096.86353,22205.47731,18141.53507,15745.91842,7548.344386,15758.99382,11964.39467,12038.75044,12326.72107,13841.16316,13274.57791,15406.63683,13550.10838,9797.293394,9508.788451,15323.41363,13425.01923,50675.32149
5,country,Algeria,40,80,30,0.001,0.001,0.001,270,260,606.6,291.6,280.1,1113.105541,1064.96,637.853027,884.749028,1145.617701,1888.45621,1743.630929,2632.047803,2754.118888,2301.225922,2580.626408,1499.446845,1696.86675,1506.733438,-584.5391991,1636.299236,1232.341924,1474.589069,1381.835,1139.724,869.6996,254.7369,1216.323,1438.8
5,country,Egypt,734,253,459,1206.5,1133.4,595.2,636.3999999,886.8999999,1075.5,1065.3,1235.4,509.8999999,646.8999999,237.4,2157.4,5375.6,10042.8,11578.1,9494.6,6711.6,6385.6,-483,6031,4256,4612,6925.2,8106.8,7408.7,8141.3,9010,5851.8,5122,11399.9,9840.6,46578
5,country,Libya,158.911,91.9038,99.0931,58.1529,-72.6243,-88.4860999,-111.7219999,-67.9,-127.894,-128.0689999,141,-133,145,143,357,1038,2064,3850,3180,3310,1909,0,1425,702,0,0,0,0,0,0,0,0,0,0,0
5,country,Morocco,165,317,424,491,551,332,322,1204.709508,400.2428049,1380.41822,421.9620539,2807.060073,480.6907065,2314.468404,894.5627096,1653.985726,2449.446199,2804.501284,2487.094098,1951.70719,1573.856265,2568.434351,2728.361094,3298.102433,3560.931392,3254.799347,2157.149441,2686.029715,3558.878862,1719.961452,1419.20787,2266.455611,2260.089404,1054.540595,1638.645315
5,country,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,-793,44,0.15,-7.8499999,1.4199999,60.14,-231.84,17.5,67.5,121.5,-6.335,83.4170167
5,country,Sudan,-31.1299999,-0.62,0.09,-0.16,99.18,12,0.4,97.9,370.6999999,370.8,392.1999999,574,713.1799999,1349.19,1511.07,1617.098139,1841.833814,1504.379838,1653.120315,1726.298403,2063.730998,1734.376994,2311,1687.884179,1251.280889,1728.373403,1063.767535,1065.298481,1135.787164,825.3549923,716.9397106,522.9,573.5,548.2,0
5,country,Tunisia,88.7,172.8,583.6,656.2,566.3999999,377.5,351.1,365.3,668.1,367.8999999,779.4671258,486.5469761,820.8309595,583.6424879,639.116157,783.0865634,3307.989362,1616.251483,2758.615092,1687.810586,1512.50524,1147.906633,1603.185884,1116.541307,1063.804722,1002.737519,884.9969507,880.7877905,1035.941738,844.7969335,652.1218138,660.2332395,713.6873308,771.6906399,936.4591546
4,region,Other Africa,1689.692267,2629.467495,2244.192271,3032.171467,3827.159775,4436.916817,4579.672347,8283.262435,6998.671706,8545.81389,7131.65324,14615.15493,10889.79845,12891.43694,11202.79499,17794.707,12798.20137,28255.60592,36960.69731,39248.29162,32164.40643,40050.04363,42187.24394,39102.39073,42730.24336,46117.78372,33902.80607,27322.76666,27964.98997,33113.16812,31146.63348,72692.70054,39243.87714,41989.35661,46356.95207
